# Пример датасета для обучения модели техники тенниса
# Заполни этот файл реальными данными из анализов сессий.
# Строки, начинающиеся с #, игнорируются pandas при чтении.
#
# Как заполнять quality_score:
#   90-100 = профессиональная техника
#   75-89  = хорошая техника, мелкие недостатки
#   55-74  = средняя техника, есть ошибки
#   35-54  = слабая техника, явные ошибки
#   0-34   = очень слабая техника, фундаментальные ошибки
#
# Колонки err_* (0 = ошибки нет, 1 = ошибка есть) — необязательны,
# если не заполнены — генерируются автоматически по правилам.
right_elbow_at_contact,left_elbow_at_contact,right_shoulder_at_contact,right_knee_at_contact,left_knee_at_contact,torso_rotation_at_contact,torso_rotation_delta,stance_width,com_x_range,quality_score,shot_type,err_arm_too_straight,err_insufficient_rotation,err_knees_not_bent,err_narrow_stance
145,88,82,132,130,42,38,1.4,0.14,85,forehand,0,0,0,0
162,92,80,155,152,28,18,1.3,0.10,52,forehand,1,1,1,0
138,85,88,128,126,48,45,1.5,0.16,88,forehand,0,0,0,0
170,95,78,160,158,20,12,0.9,0.08,38,forehand,1,1,1,1
142,87,84,135,133,40,36,1.6,0.18,84,forehand,0,0,0,0
155,91,81,148,145,32,24,1.2,0.12,65,forehand,0,1,0,0
135,84,90,125,124,52,48,1.7,0.20,92,forehand,0,0,0,0
168,93,77,162,160,18,10,0.8,0.07,30,forehand,1,1,1,1
148,89,85,138,136,38,34,1.4,0.15,82,forehand,0,0,0,0
158,90,79,150,148,30,22,1.1,0.11,60,forehand,0,1,0,0
132,83,92,122,120,55,52,1.8,0.22,95,forehand,0,0,0,0
165,94,76,158,156,22,14,0.9,0.09,42,forehand,1,1,1,1
140,86,86,130,128,44,40,1.5,0.17,86,forehand,0,0,0,0
152,91,82,142,140,35,28,1.3,0.13,72,forehand,0,0,0,0
128,82,94,118,116,58,55,1.9,0.24,98,forehand,0,0,0,0
172,96,75,164,162,16,8,0.7,0.06,25,forehand,1,1,1,1
144,88,83,134,132,41,37,1.5,0.15,83,forehand,0,0,0,0
160,92,80,152,150,26,20,1.2,0.11,55,forehand,1,1,0,0
136,85,89,126,124,50,46,1.6,0.19,90,forehand,0,0,0,0
166,93,77,160,158,19,11,0.8,0.08,35,forehand,1,1,1,1
148,88,84,136,134,39,35,1.4,0.14,82,backhand,0,0,0,0
155,90,81,146,144,32,25,1.3,0.12,68,backhand,0,1,0,0
138,84,87,128,126,46,42,1.5,0.16,86,backhand,0,0,0,0
168,94,76,158,156,22,15,0.9,0.09,40,backhand,1,1,1,1
142,87,85,132,130,43,38,1.4,0.15,84,backhand,0,0,0,0
175,96,74,165,163,15,8,0.7,0.07,22,serve,1,1,1,1
158,91,80,145,143,34,28,1.4,0.13,70,serve,0,0,0,0
135,84,88,125,123,52,48,1.6,0.18,90,serve,0,0,0,0
162,92,79,152,150,28,20,1.2,0.11,58,serve,0,1,0,0
140,86,86,130,128,44,40,1.5,0.16,85,serve,0,0,0,0
